Notion	Philosophe	Idée
Art	Alain	Alain cherche à établir ce qui distingue l'artisan de l'artiste. Alors que le premier se définit par son habileté à appliquer des règles déjà existantes, le deuxième se révèle dans et par son activité créatrice. Ainsi c'est l'oeuvre qui commande au génie.
Art	Alberti	Il y a une propriété commune à tous les objets, naturels ou artificiels : l’harmonie.
Art	Arendt	L'œuvre est une création qui perdure. Les œuvres d'art sont les seules choses qui paraissent échapper au pouvoir « destructeur » de la société de consommation. Elles permettent à l'homme de créer un monde culturel capable de perdurer.
Art	Aristote	La tragédie est l’imitation d’une action achevée et complète en art.
Art	Benjamin	Les nouveaux modes de diffusion des oeuvres d’art fragilisent une de leurs propriétés essentielles : leur autorité, leur aura.
Art	Benjamin	Les œuvres d'art avaient autrefois un caractère unique et comportaient une dimension religieuse ou magique. Désormais, avec la possibilité technique de les reproduire, de les échanger et de les diffuser (par la photographie ou l'enregistrement sonore par exemple), les œuvres tendent à perdre leur dimension sacrée, leur « aura ».
Art	Bergson	Création signifie, avant tout, émotion.
Art	Bergson	Loin de produire des apparences trompeuses qui masquent la réalité, l'artiste est celui qui parvient à faire voir ce que nous n'aurions peut-être jamais vu sans lui.
Art	Diderot	L'artiste ne se limite pas à sélectionner des traits qu’il juge beaux dans la nature observée.
Art	Freud	L’activité créatrice de l’artiste est un moyen pour lui de sublimer ses pulsions
Art	Goodman	Avant de répondre à une question, il est possible de la reformuler, de la déplacer, voire de la récuser.
Art	Goodman	Un objet devient une oeuvre quand il fonctionne comme symbole. L'art contemporain est parfois déconcertant. Pour mieux se repérer dans le monde de l'art et appréhender ce qui le caractérise, Goodman suggère de remplacer la question qu est-ce que l'art ? par celle-ci, désormais peut-être plus pertinente : quand y a-t-il art ?.
Art	Hegel	L’art n'est pas un simple divertissement ou une pure illusion.
Art	Hegel	L’essence de l’art ne tient pas dans une reproduction du réel, puisque rien ne servirait d’avoir une reproduction si nous avons déjà l’original. Elle tient plutôt dans une objectivation de notre vie intérieure dans l’élément de l’apparence sensible, qui nous permet de prendre conscience de nous-même.
Art	Hegel	Quel rapport l'art entretient-il avec la morale ? Si Hegel admet que l'art n'est pas étranger à toute forme de morale, dans la mesure où il contribue à adoucir les moeurs, il met toutefois en garde contre ceux qui voudraient instrumentaliser l'art pour le mettre au service d'un but qui n'est pas le sien.
Art	Hume	L’habitude et la répétition façonnent nos catégories mentales et nos comportements.
Art	Hume	Pour Hume, même si le goût est subjectif, tous les jugements de goût ne se valent pas.
Art	Jankélévitch	L'art peut naître quand les mots ne sont pas suffisants pour exprimer ce que l'on voudrait dire. Cela ne signifie pas pour autant que l'art laisserait muet et couperait court à toute forme de parole, bien au contraire.
Art	Kant	L’art est produit par un être qui se représente l’effet qu’il va produire.
Art	Kant	L’artiste est défini par son génie, c’est-à-dire par une disposition innée et naturelle par laquelle il peut inventer de nouvelles règles
Art	Kant	La beauté ne se réduit pas à la satisfaction liée aux sens, toujours particulière et subjective ; dire c'est beau, c'est aspirer à partager avec les autres le plaisir ressenti devant une oeuvre. C'est le jugement esthétique qui permet de dépasser le cadre de la sensation et d'accéder à une dimension universelle.
Art	Kant	Le génie se caractérise par l'acte de création. Kant s'efforce de mettre au jour, par un certain nombre de critères, ce qui fait le mystère du génie artistique.
Art	Kant	Le goût se distingue de la connaissance et de la morale.
Art	Maldiney	Il n'existe pas de discontinuité entre la peinture abstraite et la peinture figurative. Dans les deux cas, le peintre cherche à accéder aux sources de l'expérience du monde.
Art	Merleau-Ponty	L'expérience artistique redessine la centralité du corps dans nos vies car l’oeuvre d’art s’inscrit dans un support matériel qui, lui aussi, est corps.
Art	Merleau-Ponty	Le monde naît de l’ambiguïté de la perception.
Art	Montaigne	L’inspiration est l'effet de la chance.
Art	Murdoch	L'art est ce qui casse l’emprise de notre propre fantaisie bornée et nous tire vers l’effort d’une vraie vision.
Art	Nietzsche	L'art est le culte du non-vrai.
Art	Nietzsche	Le génie n’est qu’un long travail incorporé ; nous croyons au génie inné parce que cette croyance nous est utile, mais cela ne signifie pas qu’elle soit vraie
Art	Nietzsche	Nous sommes habitués, en face de toute chose parfaite, à ne pas poser le problème de sa formation.
Art	Nietzsche	Pour Nietzsche, les œuvres de génie ne sont pas le résultat d'un phénomène mystérieux ou surnaturel.
Art	Nietzsche	Selon Nietzsche, l'artiste a tendance à méconnaître sa véritable nature et à se mésestimer car il éprouve un sentiment d'infériorité, notamment par rapport aux hommes d'action qui se définissent par leur rôle efficace et utile dans la société. Par un renversement radical, Nietzsche tente ici de montrer l'infinie supériorité des artistes dans le rôle qu ils peuvent avoir au sein même de la société.
Art	Platon	L’art est l’imitation d’une imitation
Art	Plotin	Dans les oeuvres d’art, les dispositifs matériels constituent des moyens par lesquels un contenu spirituel – une forme – peut être exprimé.
Art	Proust	La vraie vie, la vie enfin découverte et éclaircie, la seule vie par conséquent pleinement vécue, c’est la littérature.
Art	Schopenhauer	L’art est le lieu de manifestation de l'essence de la vie.
Art	Simondon	La pensée technique résulte d’un déphasage d’un mode unique, central et originel d’être au monde, le mode magique.
Bonheur	Aristote	Le bonheur est indissociable d'une perspective d'accomplissement ou de réalisation de soi. Mais encore faut-il se demander ce qu est l'homme et quelle est sa tâche en cette vie. L'homme peut passer à côté du bonheur s'il renonce à accomplir la tâche pour laquelle il est fait, par excellence, à savoir de mener une vie conforme à la raison.
Bonheur	Bentham	L'utilitarisme, dont Bentham fut le fondateur, est une doctrine qui définit l'action bonne comme celle dont les conséquences maximisent le bien-être collectif. La morale n'y est plus dissociable de la politique. Dans ce texte, Bentham définit le principe d'utilité.
Bonheur	Bentham	Tous les actes qui sont à juste titre objets de l’éthique ne relèvent pas toujours de la législation.
Bonheur	Bruno	Un bonheur sans tourment et sans douleur, limité à la satisfaction immédiate, n'existe pas.
Bonheur	Calliclès	La vie heureuse est la vie déréglée
Bonheur	Châtelet	Pour être heureux, il faut être susceptible d'illusion. Et si l'un des secrets du bonheur résidait dans un certain plaisir pris à l'illusion ?
Bonheur	Descartes	Même si je m'écarte de toute morale, quand j'agis je postule une morale provisoire.
Bonheur	Diderot	La passion est l'heureuse expression de soi.
Bonheur	Épictète	Le sage doit à la fois être indifférent aux biens extérieurs et ne pas être impassible à la manière d’une statue.
Bonheur	Épicure	La recherche du bonheur implique la recherche de la sagesse : c’est le bon usage de notre raison qui nous rend heureux
Bonheur	Épicure	Trier ses désirs permet d'être heureux.
Bonheur	Épicure	Une vie dirigée par la recherche du plaisir est-elle nécessairement une vie déréglée ? Non, répond l'épicurisme, mais à condition de distinguer les différentes sortes de désirs.
Bonheur	Freud	La vie psychique inconsciente est dominée par la recherche du plaisir.
Bonheur	Heidegger	Notre finitude n’est pas quelque chose qui rend l’existence absurde. Au contraire, c’est le fait de se projeter vers notre mort qui nous permet d’avoir un rapport authentique à notre existence et qui lui donne son sens. C’est cette distinction entre l’authenticité et l’inauthenticité qui est décisive, non celle entre la foi et l’incroyance.
